circuit_type,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,num_runs
neg_or_tree,1024,base,cvc5,smt,SAT,1.3925704956054688,1.3895131746927898,0.04536851200347921,1.3426933288574219,1.4332756996154785,3
neg_or_tree,1024,sbc,gecode,minizinc,SAT,0.2713747024536133,0.2715446949005127,0.00041390062747546366,0.2712428569793701,0.2720165252685547,3
neg_or_tree,1024,sbc,chuffed,minizinc,SAT,0.28076744079589844,0.28603092829386395,0.01020594278710497,0.27953124046325684,0.2977941036224365,3
neg_or_tree,1024,sbc,z3,smt,SAT,0.07110095024108887,0.07273570696512859,0.0029908269277152434,0.07091856002807617,0.0761876106262207,3
neg_or_tree,1024,sbc,cvc5,smt,SAT,1.1658313274383545,1.1749942302703857,0.0209479325457677,1.160188913345337,1.1989624500274658,3
neg_or_tree,1024,sbc_half,gecode,minizinc,SAT,0.2547333240509033,0.26127250989278156,0.015682777537815138,0.24991750717163086,0.27916669845581055,3
neg_or_tree,1024,sbc_half,chuffed,minizinc,SAT,0.24787187576293945,0.24857854843139648,0.002149610534556068,0.2468712329864502,0.2509925365447998,3
neg_or_tree,1024,sbc_half,z3,smt,SAT,0.06645035743713379,0.0655225118001302,0.005459282335132056,0.05965876579284668,0.07045841217041016,3
neg_or_tree,1024,sbc_half,cvc5,smt,SAT,0.524744987487793,0.5284823576609293,0.0070485411641327805,0.5240895748138428,0.5366125106811523,3
neg_or_tree,2048,base,gecode,minizinc,SAT,0.41091394424438477,0.41174864768981934,0.009799832586854459,0.4023928642272949,0.4219391345977783,3
neg_or_tree,2048,base,chuffed,minizinc,SAT,0.4129445552825928,0.416539986928304,0.013686846349649675,0.40500974655151367,0.43166565895080566,3
neg_or_tree,2048,base,z3,smt,SAT,0.1925208568572998,0.19520815213521323,0.006942471350029158,0.19001102447509766,0.2030925750732422,3
neg_or_tree,2048,base,cvc5,smt,SAT,3.655871868133545,3.665588061014811,0.035197194126775876,3.6362695693969727,3.704622745513916,3
neg_or_tree,2048,sbc,gecode,minizinc,SAT,0.41211414337158203,0.41329209009806317,0.013746495870490155,0.40017247200012207,0.42758965492248535,3
neg_or_tree,2048,sbc,chuffed,minizinc,SAT,0.41445183753967285,0.40988532702128094,0.011117228191096442,0.39721202850341797,0.41799211502075195,3
neg_or_tree,2048,sbc,z3,smt,SAT,0.15040111541748047,0.1503748099009196,0.0078958601578478,0.14246582984924316,0.15825748443603516,3
neg_or_tree,2048,sbc,cvc5,smt,SAT,3.1224820613861084,3.1303868293762207,0.016436031315968845,3.119396686553955,3.1492817401885986,3
neg_or_tree,2048,sbc_half,gecode,minizinc,SAT,0.33789539337158203,0.34282708168029785,0.016283198013826845,0.32957983016967773,0.3610060214996338,3
neg_or_tree,2048,sbc_half,chuffed,minizinc,SAT,0.336747407913208,0.3400239944458008,0.006559611224722564,0.33574819564819336,0.347576379776001,3
neg_or_tree,2048,sbc_half,z3,smt,SAT,0.12312006950378418,0.12531185150146484,0.008832473670039292,0.1177816390991211,0.13503384590148926,3
neg_or_tree,2048,sbc_half,cvc5,smt,SAT,1.6836113929748535,1.6807831128438313,0.005077121007177752,1.6749217510223389,1.6838161945343018,3
