problem,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,par2,num_runs,num_sat,num_unsat,num_timeout,num_error
latin_square,20,base,gecode,minizinc,SAT,0.00354532,0.0036040066666666666,0.00034490519455835007,0.00329221,0.00397449,0.0036040066666666666,3,3,0,0,0
latin_square,20,base,chuffed,minizinc,SAT,0.003,0.0033333333333333335,0.0005773502691896258,0.003,0.004,0.0033333333333333335,3,3,0,0,0
latin_square,20,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,20,base,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,20,sbc,gecode,minizinc,SAT,0.00603579,0.006137753333333333,0.0005358803775408588,0.00566018,0.00671729,0.006137753333333333,3,3,0,0,0
latin_square,20,sbc,chuffed,minizinc,SAT,0.003,0.0033333333333333335,0.0005773502691896258,0.003,0.004,0.0033333333333333335,3,3,0,0,0
latin_square,20,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,20,sbc,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,25,base,gecode,minizinc,SAT,0.00801735,0.008280133333333333,0.0005471218668937787,0.00791398,0.00890907,0.008280133333333333,3,3,0,0,0
latin_square,25,base,chuffed,minizinc,SAT,0.005,0.005,0.0,0.005,0.005,0.005,3,3,0,0,0
latin_square,25,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,25,base,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,25,sbc,gecode,minizinc,SAT,0.0136313,0.0140672,0.0012795058069426642,0.0130626,0.0155077,0.0140672,3,3,0,0,0
latin_square,25,sbc,chuffed,minizinc,SAT,0.005,0.005,0.0,0.005,0.005,0.005,3,3,0,0,0
latin_square,25,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,25,sbc,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,30,base,gecode,minizinc,SAT,0.0167448,0.0164663,0.0008865870572030699,0.0154739,0.0171802,0.0164663,3,3,0,0,0
latin_square,30,base,chuffed,minizinc,SAT,0.009,0.009,0.0,0.009,0.009,0.009,3,3,0,0,0
latin_square,30,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,30,base,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,30,sbc,gecode,minizinc,SAT,0.280034,0.276901,0.010876365339579214,0.264802,0.285867,0.276901,3,3,0,0,0
latin_square,30,sbc,chuffed,minizinc,SAT,0.01,0.010666666666666666,0.0011547005383792516,0.01,0.012,0.010666666666666666,3,3,0,0,0
latin_square,30,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,30,sbc,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,35,base,gecode,minizinc,SAT,2.87131,2.84679,0.0880975186937749,2.74903,2.92003,2.84679,3,3,0,0,0
latin_square,35,base,chuffed,minizinc,SAT,0.019,0.018666666666666668,0.0015275252316519462,0.017,0.02,0.018666666666666668,3,3,0,0,0
latin_square,35,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,35,base,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,35,sbc,gecode,minizinc,SAT,0.0508658,0.05106446666666667,0.000375709107333498,0.0508298,0.0514978,0.05106446666666667,3,3,0,0,0
latin_square,35,sbc,chuffed,minizinc,SAT,0.017,0.017333333333333333,0.0005773502691896243,0.017,0.018,0.017333333333333333,3,3,0,0,0
latin_square,35,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
