problem,size,variant,solver,backend,status,run_id,wall_time,solve_time,compilation_time,conflicts,propagations,decisions,nodes,failures,memory_mb
graphcoloring_kcolorable,90,base,chuffed,minizinc,SAT,0,0.5046648979187012,0.31,0.0630426,,7184953,,8643,6938,
graphcoloring_kcolorable,90,base,chuffed,minizinc,SAT,1,0.4973323345184326,0.304,0.0643844,,7184953,,8643,6938,
graphcoloring_kcolorable,90,base,chuffed,minizinc,SAT,2,0.48864102363586426,0.304,0.066291,,7184953,,8643,6938,
graphcoloring_kcolorable,90,base,z3,smt,SAT,0,23.717915296554565,23.7,,16716,1821887,172822,,,31.38
graphcoloring_kcolorable,90,base,z3,smt,SAT,1,21.854487419128418,21.84,,17383,1878823,177750,,,31.38
graphcoloring_kcolorable,90,base,z3,smt,SAT,2,22.849595069885254,22.84,,17142,1869355,176718,,,31.38
graphcoloring_kcolorable,90,base,cvc5,smt,SAT,0,9.366634845733643,9.357,,,,,,,
graphcoloring_kcolorable,90,base,cvc5,smt,SAT,1,9.582915544509888,9.573,,,,,,,
graphcoloring_kcolorable,90,base,cvc5,smt,SAT,2,7.543635368347168,7.534,,,,,,,
graphcoloring_kcolorable,90,sbc,gecode,minizinc,SAT,0,0.19233131408691406,0.000316617,0.0640786,,2843,,8,0,
graphcoloring_kcolorable,90,sbc,gecode,minizinc,SAT,1,0.1917099952697754,0.000447574,0.0594143,,2843,,8,0,
graphcoloring_kcolorable,90,sbc,gecode,minizinc,SAT,2,0.18361210823059082,0.000312811,0.0595853,,2843,,8,0,
graphcoloring_kcolorable,90,sbc,chuffed,minizinc,SAT,0,1.2124073505401611,1.021,0.0619018,,19907633,,17456,15526,
graphcoloring_kcolorable,90,sbc,chuffed,minizinc,SAT,1,1.1961240768432617,1.001,0.063451,,19907633,,17456,15526,
graphcoloring_kcolorable,90,sbc,chuffed,minizinc,SAT,2,1.2165884971618652,1.021,0.0664075,,19907633,,17456,15526,
graphcoloring_kcolorable,90,sbc,z3,smt,SAT,0,14.063033819198608,14.05,,10218,1488669,109128,,,28.43
graphcoloring_kcolorable,90,sbc,z3,smt,SAT,1,14.365348815917969,14.35,,10414,1439900,107767,,,28.43
graphcoloring_kcolorable,90,sbc,z3,smt,SAT,2,14.321789741516113,14.31,,9715,1436951,106359,,,28.41
graphcoloring_kcolorable,90,sbc,cvc5,smt,SAT,0,5.391880035400391,5.384,,,,,,,
graphcoloring_kcolorable,90,sbc,cvc5,smt,SAT,1,4.51003885269165,4.502,,,,,,,
graphcoloring_kcolorable,90,sbc,cvc5,smt,SAT,2,3.813695192337036,3.805,,,,,,,
graphcoloring_kcolorable,100,base,gecode,minizinc,SAT,0,0.21486449241638184,0.000559325,0.0638195,,3562,,13,0,
graphcoloring_kcolorable,100,base,gecode,minizinc,SAT,1,0.2005159854888916,0.000575255,0.0632161,,3562,,13,0,
graphcoloring_kcolorable,100,base,gecode,minizinc,SAT,2,0.20006489753723145,0.00060382,0.0668216,,3562,,13,0,
graphcoloring_kcolorable,100,base,chuffed,minizinc,SAT,0,2.4148926734924316,2.203,0.0763267,,31902151,,26450,24118,
graphcoloring_kcolorable,100,base,chuffed,minizinc,SAT,1,2.5526442527770996,2.329,0.0661334,,31902151,,26450,24118,
graphcoloring_kcolorable,100,base,chuffed,minizinc,SAT,2,2.5756731033325195,2.376,0.070706,,31902151,,26450,24118,
graphcoloring_kcolorable,100,base,z3,smt,TIMEOUT,0,,,,,,,,,
graphcoloring_kcolorable,100,base,z3,smt,TIMEOUT,1,,,,,,,,,
graphcoloring_kcolorable,100,base,z3,smt,TIMEOUT,2,,,,,,,,,
graphcoloring_kcolorable,100,base,cvc5,smt,SAT,0,42.539252042770386,42.524,,,,,,,
graphcoloring_kcolorable,100,base,cvc5,smt,SAT,1,41.486586809158325,41.471,,,,,,,
graphcoloring_kcolorable,100,base,cvc5,smt,SAT,2,43.44615888595581,43.431,,,,,,,
graphcoloring_kcolorable,100,sbc,gecode,minizinc,SAT,0,0.24882268905639648,0.000830126,0.098454,,3496,,14,0,
