family,size_param,regime,sbc,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_det_time,rsat_conflicts,rsat_decisions,rsat_propagations,rsat_cpu_s,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,check_ns,check_status,pipeline_gross_s,pipeline_net_s,pipeline_status
matching,11,var,variable lex/reflection,110,133,4309,0.1420,UNSAT,5484749,2952,3530,57901,0.114477,4939,1192687,4939,1170118,0.0310,1170118,359046442,OK,4.3,2.163,OK
matching,13,none,—,156,182,6215,0.3134,UNSAT,16067428,3873,5244,116246,0.26621,10332,2789601,10332,2706215,0.0528,2706215,716881959,OK,7.191,5.055,OK
matching,13,var,variable lex/reflection,156,183,6236,0.1563,UNSAT,6812827,2059,2913,59477,0.13379,5545,1432144,5545,1390981,0.0305,1390981,342145780,OK,6.694,4.558,OK
matching,15,none,—,210,240,8459,0.5463,UNSAT,33233378,5893,9678,205875,0.492874,17634,5616871,17634,5428540,0.0950,5428540,1458752215,OK,13.359,11.222,OK
matching,15,var,variable lex/reflection,210,241,8480,0.9098,UNSAT,69339623,9858,13913,369271,0.803675,28265,9945868,28265,9621582,0.1741,9621582,2629158471,OK,14.504,12.367,OK
matching,17,none,—,272,306,11031,1.4688,UNSAT,140907188,12317,19407,471893,1.33005,34686,14114806,34686,13626946,0.2432,13626946,3804496334,OK,26.025,23.888,OK
matching,17,var,variable lex/reflection,272,307,11052,4.8247,UNSAT,474929941,38937,57950,1863478,4.39098,118784,50598354,118784,48802753,0.8475,48802753,13301627994,OK,36.066,33.929,OK
matching,19,none,—,342,380,13931,14.4784,UNSAT,1862698389,76688,127941,3343914,13.5801,242740,113542393,242740,109257006,1.8564,109257006,33299837541,OK,76.586,74.45,OK
matching,19,var,variable lex/reflection,342,381,13952,8.4325,UNSAT,1058540109,49757,82394,2142364,7.89378,164624,76758027,164624,73794992,1.2595,73794992,21522658419,OK,64.163,62.026,OK
langford,2,none,—,12,15,549,0.0026,UNSAT,24,0,0,12,0,22,465,22,502,0.0026,502,247639,OK,2.253,0.117,OK
langford,2,var,variable lex/reflection,12,16,577,0.0029,UNSAT,24,0,0,12,0,22,465,22,502,0.0025,502,318192,OK,2.343,0.206,OK
langford,5,none,—,90,100,4608,0.0219,UNSAT,120165,221,437,4315,0.016636,1144,272315,1144,262623,0.0078,262623,49636194,OK,2.222,0.085,OK
langford,5,var,variable lex/reflection,90,101,4678,0.0208,UNSAT,53301,126,254,2393,0.012959,886,319603,886,306689,0.0078,306689,52692295,OK,2.365,0.228,OK
